,track name,artists,album,release year,track id,popularity
54,Ballrooms Of Mars - Acoustic Session,Marc Bolan,Skycloaked Lord (Of Precious Light),2017,0WGJLfkhWpB7sU0D0spIxu,2
55,Ballrooms Of Mars,T. Rex,Acoustic,2007,6mbFY5b8fxAhhFi5xvfl8h,0
56,Ballrooms of Mars - 2012 Remaster,T. Rex,The Slider (The Visconti Master),1972,0zXR2wUpFVIEJUaYos7vwc,15
57,Ballrooms Of Mars,Marc Bolan,Marc Bolan & T.Rex- The Radio Sessions Vol. 1 (Live),2014,4HH9EH7hGlLtTdnCCudXZg,0
58,Ballrooms Of Mars,Marc Bolan,Ballrooms Of Mars,2016,6DHFxlT5kgbOP8rrqJY86J,0
59,The Fragile,Nine Inch Nails,The Fragile,1999,0MKeZp4SppjBqwoprLxV5u,42
62,Big eye,Christine and the Queens,"PARANOÏA, ANGELS, TRUE LOVE",2023,0fGbCVPP41cReDwIAuOORJ,21
63,Never Let Me Go,Depeche Mode,Memento Mori,2023,2RfrOEGUK6lakj8PIGvQh6,38
64,"Sex, Violence, Suicide",Amaarae,Fountain Baby,2023,4GDsIoGuRxBVR0zPbxodIO,34
65,CEMENT,"Spresso, Alpha Maid, Mica Levi",FAST SET CEMENT,2024,5bwkjMHiM4UztEg1uE8ANC,19
66,Blue Suzuki,Lust For Youth,Blue Suzuki,2023,7LWnThkBWw6n0wbNUtF8zA,25
67,Stone Bridge,ML Buch,Skinned,2020,5EjcaWgeTEKApENX6zqmSL,0
68,Summer,Kelora,Gloomerald,2023,6QUO9V7Buu6j23HfUkAtaM,20
69,Antidote,Orion Sun,A Collection of Fleeting Moments and Daydreams,2020,1NlGXcWeUSe1s3IgRKcqmB,60
70,La vita nuova,"Christine and the Queens, Caroline Polachek",La vita nuova,2020,36LC0XouPxisV5wz8I0fZ9,43
71,hello?,TURQUOISEDEATH,hello?,2022,0iFY19PUAR7Tf4lUHPfoVE,38
72,Faded Reverie,"hxly xo, dead fave",Faded Reverie,2024,4yIni2QZ5jktqpiiYaNqVl,19
73,it’s all,wiv,it’s all,2023,6aucTiVQryHSqjs9nX356s,23
74,no mana,"cybersona888, cupsy",no mana,2023,6BuWjuUNNdoBnQmW9N5Pnu,15
75,Puddle of Nitrogen,Acetantina,Temple of Null,2020,69OVnCNC0SB8EsLsq51lQF,0
76,Hero!,11vx,Hero!,2021,509NzRvzuITtt1q6YAGGmd,40
77,iron,11vx,iron,2022,5JYNevsuHpRonwpKV9zAUS,31
78,Fuji,Nedaj,Fuji,2021,3sceNZTdQ1CSlSULPbGlV2,41
79,APATHY,hxly xo,APATHY,2023,7wuyiKj0YXlAikWBExkoid,28
80,Cyber Highway,Vorrnn,CALV3RA REV3R,2022,55dg3f6KxZ5L3mKbEJbVtm,6
81,FINAL FANTASY,black balloons,FINAL FANTASY,2022,2219puT2YzNNVEQ784V2jt,27
82,blue memories,2 0 2 1,reverie,2022,3OC5dXo3M0IOb707kutpQb,26
83,K.I.D.S.,"Ftlframe, BBAudio",AUDIO GIRL LAIN,2023,5WEoEw7P3u2yHZYRcBjJ2J,30
