Timestamp,Activity Type,Application
2025-02-21 15:42:54,ACTIVITY_RESUMED,com.spotify.music
2025-02-21 15:42:56,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-21 15:42:56,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-21 15:47:56,ACTIVITY_PAUSED,com.spotify.music
2025-02-21 15:47:56,ACTIVITY_STOPPED,com.spotify.music
2025-02-21 16:51:10,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-21 16:51:12,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-21 17:04:06,ACTIVITY_RESUMED,com.spotify.music
2025-02-21 17:04:37,ACTIVITY_PAUSED,com.spotify.music
2025-02-21 17:04:37,ACTIVITY_STOPPED,com.spotify.music
2025-02-21 17:11:36,ACTIVITY_RESUMED,com.spotify.music
2025-02-21 17:12:20,ACTIVITY_PAUSED,com.spotify.music
2025-02-21 17:12:20,ACTIVITY_STOPPED,com.spotify.music
2025-02-21 17:38:40,USER_INTERACTION,com.spotify.music
2025-02-21 17:38:40,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-21 17:38:40,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-21 19:54:12,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-21 20:14:44,ACTIVITY_RESUMED,com.spotify.music
2025-02-21 20:15:05,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-21 20:15:05,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-21 20:15:07,ACTIVITY_PAUSED,com.spotify.music
2025-02-21 20:15:07,SHORTCUT_INVOCATION,com.spotify.music
2025-02-21 20:15:07,SHORTCUT_INVOCATION,com.spotify.music
2025-02-21 20:15:07,ACTIVITY_STOPPED,com.spotify.music
2025-02-21 20:15:07,SHORTCUT_INVOCATION,com.spotify.music
2025-02-21 20:16:17,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-21 20:16:18,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-21 20:54:54,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-22 01:37:55,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-22 01:37:55,FOREGROUND_SERVICE_STOP,com.spotify.music
