Timestamp,Activity Type,Application
2025-02-16 11:31:05,USER_INTERACTION,com.spotify.music
2025-02-16 11:31:06,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 11:31:24,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-16 11:31:24,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-16 11:31:27,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 11:31:27,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 11:31:34,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 11:31:34,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 11:31:34,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 11:31:53,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 11:31:53,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 11:31:57,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 11:31:57,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 11:31:57,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 11:32:11,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 11:32:11,SHORTCUT_INVOCATION,com.spotify.music
2025-02-16 11:32:11,SHORTCUT_INVOCATION,com.spotify.music
2025-02-16 11:32:11,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 11:32:12,SHORTCUT_INVOCATION,com.spotify.music
2025-02-16 11:32:32,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 11:32:39,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 11:32:39,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 11:42:40,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-16 12:44:04,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-16 12:44:04,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-16 13:04:43,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-16 13:29:55,USER_INTERACTION,com.spotify.music
2025-02-16 13:29:56,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 13:30:06,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-16 13:30:06,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-16 13:30:08,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 13:30:08,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 13:30:11,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 13:30:12,SHORTCUT_INVOCATION,com.spotify.music
2025-02-16 13:30:12,SHORTCUT_INVOCATION,com.spotify.music
2025-02-16 13:30:12,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 13:30:12,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 13:30:12,SHORTCUT_INVOCATION,com.spotify.music
2025-02-16 13:31:58,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 13:32:00,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 13:32:00,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 13:45:22,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 13:53:53,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 13:53:53,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 14:03:53,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-16 14:15:46,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 14:15:47,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 14:15:47,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 14:15:54,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 14:15:54,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 17:16:12,USER_INTERACTION,com.spotify.music
2025-02-16 17:16:12,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 17:16:14,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 17:16:14,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 17:16:17,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-16 17:16:17,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-16 17:16:19,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 17:16:20,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 17:16:20,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 17:28:50,ACTIVITY_RESUMED,com.spotify.music
2025-02-16 17:28:56,ACTIVITY_PAUSED,com.spotify.music
2025-02-16 17:28:57,ACTIVITY_STOPPED,com.spotify.music
2025-02-16 17:41:27,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-16 19:46:44,USER_INTERACTION,com.spotify.music
2025-02-16 19:46:44,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-16 19:46:44,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-16 19:46:47,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-16 19:47:07,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-16 19:47:07,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-16 20:02:12,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-17 00:09:46,USER_INTERACTION,com.spotify.music
2025-02-17 00:09:46,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 00:10:18,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 00:10:18,ACTIVITY_STOPPED,com.spotify.music
2025-02-17 08:38:56,USER_INTERACTION,com.spotify.music
2025-02-17 08:38:56,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 08:39:03,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-17 08:39:03,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-17 08:39:06,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 08:39:06,SHORTCUT_INVOCATION,com.spotify.music
2025-02-17 08:39:06,SHORTCUT_INVOCATION,com.spotify.music
2025-02-17 08:39:07,SHORTCUT_INVOCATION,com.spotify.music
2025-02-17 08:39:07,ACTIVITY_STOPPED,com.spotify.music
2025-02-17 08:52:40,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 08:52:43,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 08:52:43,ACTIVITY_STOPPED,com.spotify.music
2025-02-17 09:02:43,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-17 09:19:51,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-17 09:19:51,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-17 09:38:20,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-17 10:03:40,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-17 10:03:40,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-17 10:16:53,USER_INTERACTION,com.spotify.music
2025-02-17 10:17:25,USER_INTERACTION,com.spotify.music
2025-02-17 10:31:14,USER_INTERACTION,com.spotify.music
2025-02-17 10:31:14,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-17 10:31:14,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-17 11:01:28,USER_INTERACTION,com.spotify.music
2025-02-17 11:01:28,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 11:01:35,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 11:01:35,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 11:08:01,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 11:08:28,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 11:09:20,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 11:09:21,ACTIVITY_STOPPED,com.spotify.music
2025-02-17 11:09:21,ACTIVITY_STOPPED,com.spotify.music
2025-02-17 11:12:08,USER_INTERACTION,com.spotify.music
2025-02-17 11:12:08,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 11:12:10,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 11:12:10,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 11:19:19,ACTIVITY_PAUSED,com.spotify.music
2025-02-17 11:19:20,ACTIVITY_STOPPED,com.spotify.music
2025-02-17 11:19:20,ACTIVITY_STOPPED,com.spotify.music
2025-02-17 11:23:46,ACTIVITY_RESUMED,com.spotify.music
2025-02-17 11:23:49,ACTIVITY_PAUSED,com.spotify.music
