Timestamp,Activity Type,Application
2025-02-22 09:33:18,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-22 09:33:18,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-22 10:18:49,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-22 12:23:10,USER_INTERACTION,com.spotify.music
2025-02-22 12:23:10,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-22 12:23:10,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-22 12:23:20,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-22 12:23:20,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-22 12:33:31,USER_INTERACTION,com.spotify.music
2025-02-22 12:33:31,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-22 12:33:31,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-22 12:53:09,USER_INTERACTION,com.spotify.music
2025-02-22 13:30:18,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-22 13:36:18,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-22 13:36:18,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-22 13:51:08,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-22 14:03:05,USER_INTERACTION,com.spotify.music
2025-02-22 14:03:05,ACTIVITY_RESUMED,com.spotify.music
2025-02-22 14:03:07,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-22 14:03:07,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-22 14:03:07,ACTIVITY_PAUSED,com.spotify.music
2025-02-22 14:03:08,ACTIVITY_RESUMED,com.spotify.music
2025-02-22 14:08:09,ACTIVITY_PAUSED,com.spotify.music
2025-02-22 14:08:09,ACTIVITY_STOPPED,com.spotify.music
2025-02-22 14:08:09,ACTIVITY_STOPPED,com.spotify.music
2025-02-22 14:37:57,ACTIVITY_RESUMED,com.spotify.music
2025-02-22 14:38:01,ACTIVITY_PAUSED,com.spotify.music
2025-02-22 14:38:01,ACTIVITY_RESUMED,com.spotify.music
2025-02-22 14:38:01,ACTIVITY_STOPPED,com.spotify.music
2025-02-22 14:38:02,ACTIVITY_PAUSED,com.spotify.music
2025-02-22 14:38:02,ACTIVITY_RESUMED,com.spotify.music
2025-02-22 14:38:03,ACTIVITY_PAUSED,com.spotify.music
2025-02-22 14:38:04,ACTIVITY_RESUMED,com.spotify.music
2025-02-22 14:38:04,ACTIVITY_STOPPED,com.spotify.music
2025-02-22 14:38:30,ACTIVITY_PAUSED,com.spotify.music
2025-02-22 14:38:30,SHORTCUT_INVOCATION,com.spotify.music
2025-02-22 14:38:30,SHORTCUT_INVOCATION,com.spotify.music
2025-02-22 14:38:30,ACTIVITY_STOPPED,com.spotify.music
2025-02-22 15:01:15,USER_INTERACTION,com.spotify.music
