Timestamp,Activity Type,Usage Duration (ms)
2025-02-19 10:15:28,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-19 10:15:28,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-19 10:15:32,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-19 10:15:32,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-19 10:25:48,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-19 10:28:01,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-19 10:28:01,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-19 10:43:26,USER_INTERACTION,com.spotify.music
2025-02-19 11:40:30,USER_INTERACTION,com.spotify.music
2025-02-19 11:40:30,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 11:40:40,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 11:40:41,SHORTCUT_INVOCATION,com.spotify.music
2025-02-19 11:40:41,SHORTCUT_INVOCATION,com.spotify.music
2025-02-19 11:40:41,ACTIVITY_STOPPED,com.spotify.music
2025-02-19 11:40:41,SHORTCUT_INVOCATION,com.spotify.music
2025-02-19 11:52:12,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 11:52:14,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 11:52:14,ACTIVITY_STOPPED,com.spotify.music
2025-02-19 12:10:22,USER_INTERACTION,com.spotify.music
2025-02-19 12:10:22,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-19 12:10:22,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-19 12:50:25,USER_INTERACTION,com.spotify.music
2025-02-19 12:50:25,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 12:50:26,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 12:50:26,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 12:50:33,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 12:50:33,ACTIVITY_STOPPED,com.spotify.music
2025-02-19 12:50:33,ACTIVITY_STOPPED,com.spotify.music
2025-02-19 12:50:34,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 12:50:38,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 12:50:39,ACTIVITY_STOPPED,com.spotify.music
2025-02-19 12:56:08,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-19 12:58:05,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-19 12:58:05,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-19 12:58:07,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-19 12:58:15,FOREGROUND_SERVICE_START,com.spotify.music
2025-02-19 12:58:15,NOTIFICATION_INTERRUPTION,com.spotify.music
2025-02-19 13:02:43,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 13:02:51,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 13:02:52,ACTIVITY_STOPPED,com.spotify.music
2025-02-19 13:16:32,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 13:16:37,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 13:16:37,ACTIVITY_STOPPED,com.spotify.music
2025-02-19 13:33:01,FOREGROUND_SERVICE_STOP,com.spotify.music
2025-02-19 17:01:04,USER_INTERACTION,com.spotify.music
2025-02-19 17:01:04,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 17:01:07,ACTIVITY_PAUSED,com.spotify.music
2025-02-19 17:01:07,ACTIVITY_RESUMED,com.spotify.music
2025-02-19 17:01:08,FOREGROUND_SERVICE_START,com.spotify.music
